short_name,long_name,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,power_shot_power,power_stamina,power_strength,mentality_vision,mentality_penalties,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,mentality_interceptions,power_jumping,overall,player_tags,"resource player"
"J. Lundstram","John Lundstram",52,72,63,77,48,69,71,54,76,75,65,64,73,84,66,76,46,72,72,14,6,6,9,76,58,76,,http://dbpedia.org/resource/John_Lundstram
"F. Rønnow","Frederik Rønnow",14,9,12,25,7,13,16,7,30,12,48,45,50,32,67,48,17,11,13,77,72,67,76,12,63,76,,http://dbpedia.org/resource/Frederik_Rønnow
"R. Knoche","Robin Knoche",30,38,82,64,28,42,33,39,69,54,50,52,58,62,77,39,37,81,74,14,10,16,10,80,67,76,,http://dbpedia.org/resource/Robin_Knoche
"B. Djimsiti","Berat Djimsiti",53,36,77,68,32,34,42,30,68,68,45,35,52,71,83,56,38,79,78,10,6,13,10,80,37,76,,http://dbpedia.org/resource/Berat_Djimsiti
"B. Mechele","Brandon Mechele",47,33,76,57,27,53,30,33,54,63,58,66,56,77,78,34,35,81,79,11,7,13,13,82,65,76,,http://dbpedia.org/resource/Brandon_Mechele
"E. Pulgar","Erick Antonio Pulgar Farfán",73,49,69,78,54,74,77,71,76,78,63,59,78,80,73,72,79,76,72,12,12,11,15,72,78,76,,http://dbpedia.org/resource/Erick_Pulgar
"E. Balanta","Éder Fabián Álvarez Balanta",50,36,75,73,35,71,35,42,71,73,69,65,55,86,84,65,43,74,72,9,14,11,12,75,71,76,,http://dbpedia.org/resource/Éder_Álvarez_Balanta
"S. Klaiber","Sean Klaiber",68,56,65,74,56,64,69,65,63,71,77,84,82,90,80,71,52,73,72,16,13,12,15,68,72,76,,http://dbpedia.org/resource/Sean_Klaiber
"Sergio Herrera","Sergio Herrera Pirón",20,16,14,24,16,15,21,21,21,27,45,49,55,42,67,33,32,17,18,77,76,73,73,12,56,76,,"http://dbpedia.org/resource/Sergio_Herrera_(footballer,_born_1993)"
"Y. Gómez Andrade","Yeimar Pastor Gómez Andrade",40,28,80,58,27,57,36,26,48,63,60,64,52,75,93,41,26,75,71,13,10,10,14,81,60,76,#Strength,http://dbpedia.org/resource/Yeimar_Gómez_Andrade
"V. Janssen","Vincent Janssen",35,77,74,75,65,67,54,39,57,75,68,68,82,70,90,70,81,23,22,13,7,11,15,19,74,76,#Strength,http://dbpedia.org/resource/Vincent_Janssen
"K. Johnsson","Karl-Johan Anton Johnsson",11,13,19,44,19,16,12,11,45,30,50,49,55,39,71,58,17,14,12,75,73,73,77,20,68,76,,http://dbpedia.org/resource/Karl-Johan_Johnsson
"C. Kabasele","Christian Kabasele",47,49,76,65,52,59,34,27,57,66,62,73,57,68,80,36,53,77,78,14,11,6,14,75,83,76,,http://dbpedia.org/resource/Christian_Kabasele
"J. Zoet","Jeroen Zoet",17,12,19,37,19,15,13,20,37,34,55,45,57,40,67,57,27,18,16,76,74,76,76,21,57,76,,http://dbpedia.org/resource/Jeroen_Zoet
"E. Sviatchenko","Erik Sviatchenko",44,41,77,71,38,51,45,39,67,67,48,70,67,74,85,64,38,76,72,14,15,7,11,72,87,76,,http://dbpedia.org/resource/Erik_Sviatchenko
"Pedro Obiang","Pedro Mba Obiang Avomo",68,50,70,77,60,74,56,62,79,76,58,57,74,72,72,78,59,78,77,9,7,7,6,76,72,76,,http://dbpedia.org/resource/Pedro_Obiang
"C. Piccini","Cristiano Piccini",69,32,67,70,34,71,64,37,62,72,74,77,68,73,79,57,35,78,76,8,9,5,7,77,70,76,,http://dbpedia.org/resource/Cristiano_Piccini
"L. Andersen","Lucas Andersen",68,72,50,75,65,78,75,70,68,79,80,82,71,74,64,76,65,26,21,14,8,8,15,48,57,76,,http://dbpedia.org/resource/Lucas_Andersen
"R. Fredericks","Ryan Fredericks",73,47,56,72,51,74,64,42,60,71,93,91,58,76,65,60,61,71,72,16,7,8,15,69,62,76,#Speedster,http://dbpedia.org/resource/Ryan_Fredericks
"J. Boëtius","Jean-Paul Boëtius",72,70,57,75,72,81,80,60,65,80,84,79,71,83,60,76,61,43,38,15,12,9,11,39,68,76,,http://dbpedia.org/resource/Jean-Paul_Boëtius
"N. Füllkrug","Niclas Füllkrug",63,79,80,67,71,70,69,69,48,74,61,67,79,63,81,61,77,30,17,15,9,10,13,24,67,76,,http://dbpedia.org/resource/Niclas_Füllkrug
"J. Lukaku","Jordan Zacharie Lukaku Menama Mokelenge",79,54,62,74,57,80,53,46,66,80,90,92,76,67,78,68,53,74,72,8,7,14,15,77,72,76,#Speedster,http://dbpedia.org/resource/Jordan_Lukaku
"R. Quaison","Robin Quaison",67,79,54,72,76,80,73,56,67,80,77,74,77,78,72,63,65,39,55,9,8,13,9,49,55,76,,http://dbpedia.org/resource/Robin_Quaison
"D. González","Derlis Alberto González Galeano",67,72,55,74,60,78,69,45,69,75,85,86,70,77,58,69,67,51,33,15,15,15,14,34,73,76,,http://dbpedia.org/resource/Derlis_González
"Y. Bounou","Yassine Bounou",15,14,14,39,13,20,12,19,44,12,37,34,56,43,69,60,24,18,15,75,76,74,75,12,48,76,,http://dbpedia.org/resource/Yassine_Bounou
Bruma,"Armindo Tué Na Bangna",69,67,53,74,60,84,77,70,60,80,92,87,78,77,55,70,69,27,28,11,13,8,12,38,72,76,#Acrobat,http://dbpedia.org/resource/Bruma_(footballer)
"M. Elneny","Mohamed Naser Elsayed Elneny",66,57,61,78,39,68,69,56,77,75,55,55,78,87,68,67,62,74,72,7,15,15,12,75,69,76,,http://dbpedia.org/resource/Mohamed_Elneny
"L. Augustinsson","Ludwig Augustinsson",79,55,56,74,56,73,75,70,75,75,75,63,69,88,65,73,62,75,76,10,12,10,15,72,69,76,,http://dbpedia.org/resource/Ludwig_Augustinsson
"D. Yedlin","DeAndre Yedlin",68,40,65,70,60,73,70,28,53,74,92,92,73,77,58,63,38,74,71,7,15,7,11,68,85,76,#Speedster,http://dbpedia.org/resource/DeAndre_Yedlin
"S. Widmer","Silvan Dominic Widmer",76,58,72,72,48,75,66,56,71,74,77,82,74,87,77,66,56,72,69,10,8,7,5,70,84,76,,http://dbpedia.org/resource/Silvan_Widmer
"G. Di Lorenzo","Giovanni Di Lorenzo",76,68,71,73,66,75,69,69,71,73,68,71,72,78,72,64,59,75,74,8,10,8,10,75,75,76,,http://dbpedia.org/resource/Giovanni_Di_Lorenzo
"M. Samatta","Mbwana Ally Samatta",69,79,79,75,76,71,65,57,45,72,78,79,78,77,72,63,70,28,23,12,14,9,7,18,88,76,,http://dbpedia.org/resource/Mbwana_Samatta
"M. Borja","Miguel Ángel Borja Hernández",53,77,76,65,69,67,47,59,46,69,79,79,81,76,86,55,73,28,25,10,16,13,12,19,77,76,#Strength,http://dbpedia.org/resource/Miguel_Borja
"T. Leibold","Tim Leibold",80,55,54,73,57,74,74,60,70,74,88,75,66,78,65,74,59,72,72,15,10,14,13,72,78,76,,http://dbpedia.org/resource/Tim_Leibold
"J. Gallardo","Jesús Daniel Gallardo Vasconcelos",74,70,64,73,49,76,73,47,66,74,82,82,75,87,66,72,65,69,69,9,7,8,12,63,77,76,#Engine,http://dbpedia.org/resource/Jesús_Gallardo
"G. Martínez","Gonzalo Nicolás Martínez",74,68,32,68,74,83,78,73,68,80,90,86,80,78,61,72,80,28,30,6,9,13,12,26,53,76,#Acrobat,http://dbpedia.org/resource/Pity_Martínez
"S. Deli","Simon Désiré Sylvanus Deli",28,37,78,65,52,68,52,51,70,70,68,77,66,72,85,44,50,78,77,11,8,8,12,75,71,76,,http://dbpedia.org/resource/Simon_Deli
"B. Lozano","Brian Avelino Lozano Aparicio",71,69,51,75,65,78,71,70,66,77,86,84,76,83,57,71,55,38,34,6,10,14,10,32,76,76,,http://dbpedia.org/resource/Brian_Lozano
"A. Pyatov","Andriy Pyatov",13,9,10,29,12,11,14,16,24,12,44,44,59,37,78,63,15,9,10,75,69,78,80,23,73,76,,http://dbpedia.org/resource/Andriy_Pyatov
"G. Gönül","Gökhan Gönül",75,58,60,74,57,78,65,48,72,72,76,77,70,75,65,72,67,77,70,8,13,10,13,74,79,76,,http://dbpedia.org/resource/Gökhan_Gönül
Negredo,"Álvaro Negredo Sánchez",45,77,82,71,77,70,65,68,63,71,62,63,83,63,86,68,80,31,30,11,6,11,7,28,82,76,#Strength,http://dbpedia.org/resource/Álvaro_Negredo
"Diego López","Diego López Rodríguez",11,12,10,28,14,11,10,11,23,23,34,52,54,42,66,53,21,13,14,71,76,72,78,16,68,76,,"http://dbpedia.org/resource/Diego_Rodríguez_(footballer,_born_1995)"
Soldado,"Roberto Soldado Rillo",66,79,78,79,81,73,70,66,58,77,54,54,79,54,72,75,79,41,38,13,13,14,9,41,75,76,,http://dbpedia.org/resource/Roberto_Soldado
"J. Pinola","Javier Horacio Pinola",69,53,73,77,51,69,65,55,69,71,67,69,75,67,79,67,59,77,75,8,12,11,7,74,81,76,,http://dbpedia.org/resource/Javier_Pinola
"P. Skjelbred","Per Ciljan Skjelbred",65,42,52,75,40,74,67,61,70,75,63,51,56,78,66,71,55,75,74,7,13,11,6,80,75,76,,http://dbpedia.org/resource/Per_Ciljan_Skjelbred
"M. Zárate","Mauro Matías Zárate",66,78,55,75,75,83,81,82,62,82,76,77,81,70,66,68,72,30,30,7,16,16,6,38,70,76,,http://dbpedia.org/resource/Mauro_Zárate
"D. Abraham","David Ángel Abraham",44,46,79,68,60,44,45,67,70,59,69,78,74,68,80,49,54,79,72,6,10,12,9,76,81,76,,http://dbpedia.org/resource/David_Abraham_(footballer)
"T. Walcott","Theo Walcott",73,70,58,70,71,78,76,74,61,77,86,86,76,67,55,67,69,39,36,11,8,9,9,35,62,76,,http://dbpedia.org/resource/Theo_Walcott
Zeca,"José Carlos Gonçalves Rodrigues",64,59,58,78,63,74,67,59,76,75,74,76,68,91,72,71,56,74,74,10,10,9,13,78,66,76,#Engine,"http://dbpedia.org/resource/Zeca_(footballer,_born_1988)"
"J. Rodriguez","Jay Rodriguez",68,77,79,69,76,72,69,39,66,74,67,75,78,76,74,73,78,30,21,12,12,16,14,44,80,76,,http://dbpedia.org/resource/Jay_Rodriguez
"C. Erkin","Caner Erkin",84,67,62,74,76,75,84,84,74,77,78,79,82,79,66,72,74,73,73,11,12,10,7,70,80,76,,http://dbpedia.org/resource/Caner_Erkin
"F. Forster","Fraser Forster",19,13,13,27,19,20,10,19,19,33,26,35,49,29,80,48,22,13,12,76,72,65,75,22,69,76,,http://dbpedia.org/resource/Fraser_Forster
"J. Tomkins","James Tomkins",45,29,78,70,28,50,33,31,60,57,37,37,40,55,80,54,43,78,79,11,8,6,9,77,76,76,,http://dbpedia.org/resource/James_Tomkins_(footballer)
Joselu,"José Luis Sanmartín Mato",58,80,81,74,74,72,73,62,58,76,58,54,78,65,76,68,74,27,20,11,11,8,15,25,76,76,,http://dbpedia.org/resource/Joselu
"V. Odjidja-Ofoe","Vadis Odjidja-Ofoe",75,68,68,80,78,76,66,70,78,80,62,63,81,81,80,78,71,73,68,10,16,11,13,71,59,76,,http://dbpedia.org/resource/Vadis_Odjidja-Ofoe
"A. Oukidja","Alexandre Oukidja",13,14,16,25,15,15,11,18,26,13,48,45,49,35,70,31,24,19,13,76,71,65,76,18,67,76,,http://dbpedia.org/resource/Alexandre_Oukidja
"M. Schneiderlin","Morgan Schneiderlin",65,58,69,79,56,68,68,63,72,76,55,54,71,75,74,65,56,76,73,6,11,12,14,75,65,76,,http://dbpedia.org/resource/Morgan_Schneiderlin
"R. Donk","Ryan Donk",60,60,78,76,42,73,44,39,70,75,58,62,81,91,89,77,50,78,68,12,12,11,7,76,81,76,,http://dbpedia.org/resource/Ryan_Donk
"M. Layún","Miguel Arturo Layún Prado",69,66,61,71,66,76,68,74,69,77,76,77,80,88,68,71,74,73,72,7,16,6,12,74,74,76,#Engine,http://dbpedia.org/resource/Miguel_Layún
"L. Rémy","Loïc Rémy",60,78,76,69,71,74,66,51,60,74,73,70,81,60,72,71,76,24,21,9,10,15,14,48,84,76,,http://dbpedia.org/resource/Loïc_Rémy
"M. Sulejmani","Miralem Sulejmani",79,74,47,75,70,79,82,84,68,80,81,81,75,53,59,70,70,36,26,13,15,8,13,26,46,76,,http://dbpedia.org/resource/Miralem_Sulejmani
Marcelo,"Marcelo Antônio Guedes Filho",36,41,84,70,42,49,39,41,74,63,45,43,76,75,90,54,51,79,70,16,15,10,7,75,85,76,#Strength,"http://dbpedia.org/resource/Marcelo_(footballer,_born_1987)"
"M. Cáceres","José Martín Cáceres Silva",66,37,75,66,65,66,68,41,64,68,70,74,70,61,72,58,50,78,78,2,3,4,2,80,91,76,,http://dbpedia.org/resource/Martín_Cáceres
"T. Deeney","Troy Deeney",56,77,82,74,77,68,68,51,61,76,54,55,86,69,91,74,82,30,25,10,11,16,12,31,83,76,#Strength,http://dbpedia.org/resource/Troy_Deeney
"C. Clark","Ciaran Clark",39,44,81,61,55,50,50,36,60,59,50,52,71,62,76,51,55,79,78,14,7,12,14,76,74,76,,http://dbpedia.org/resource/Ciaran_Clark
"M. Albrighton","Marc Albrighton",83,67,45,72,72,77,80,73,74,77,69,68,73,78,60,76,60,59,46,15,9,8,15,56,61,76,,http://dbpedia.org/resource/Marc_Albrighton
"M. Sakho","Mamadou Sakho",58,23,73,76,20,50,50,30,69,60,48,51,51,53,90,61,40,77,75,14,12,9,7,79,74,76,#Strength,http://dbpedia.org/resource/Mamadou_Sakho
"Fran Mérida","Francisco Mérida Pérez",73,67,43,80,57,72,82,80,78,78,61,58,77,68,70,77,79,76,75,11,11,8,6,71,65,76,,http://dbpedia.org/resource/Fran_Mérida
"N. Gaitán","Osvaldo Nicolás Fabián Gaitán",76,68,54,77,80,80,85,72,74,79,79,71,72,67,48,78,71,42,43,8,11,9,7,40,80,76,,http://dbpedia.org/resource/Nicolás_Gaitán
"M. Darmian","Matteo Darmian",69,55,68,74,59,72,69,35,66,74,68,67,69,75,62,59,45,80,77,6,7,7,12,77,67,76,,http://dbpedia.org/resource/Matteo_Darmian
"A. Poli","Andrea Poli",68,56,65,80,69,78,72,68,74,80,67,68,72,72,62,77,68,72,72,5,5,5,5,74,65,76,,http://dbpedia.org/resource/Andrea_Poli
"O. Toprak","Ömer Toprak",49,28,78,70,47,65,44,33,69,69,66,73,62,55,78,59,43,79,76,11,8,11,12,76,80,76,,http://dbpedia.org/resource/Ömer_Toprak
"T. Gebre Selassie","Theodor Gebre Selassie",76,49,83,76,49,75,52,58,69,76,67,66,62,76,69,61,51,76,69,7,6,14,7,80,90,76,,http://dbpedia.org/resource/Theodor_Gebre_Selassie
"L. Fer","Leroy Johan Fer",68,67,80,77,66,73,49,44,76,75,65,68,85,78,86,72,72,74,72,9,8,14,16,70,84,76,,http://dbpedia.org/resource/Leroy_Fer
"J. Ward","Joel Ward",74,46,74,71,33,64,43,34,69,69,59,62,64,69,71,66,40,77,78,8,7,7,10,79,65,76,,http://dbpedia.org/resource/Joel_Ward_(footballer)
"A. Dzagoev","Alan Dzagoev",72,70,63,74,72,75,67,75,72,79,74,71,76,71,66,81,65,71,70,11,16,12,14,71,73,76,,http://dbpedia.org/resource/Alan_Dzagoev
"J. McCarthy","James McCarthy",68,55,63,79,61,74,64,64,77,74,61,54,67,60,64,72,60,76,74,12,11,8,10,77,65,76,,http://dbpedia.org/resource/James_McCarthy_(footballer)
"A. Budimir","Ante Budimir",41,83,80,68,69,72,44,31,30,78,63,69,74,70,83,39,65,35,27,11,14,8,16,24,56,76,,http://dbpedia.org/resource/Ante_Budimir
"R. Boudebouz","Ryad Boudebouz",80,75,45,76,70,80,83,81,74,78,67,69,77,59,60,81,90,35,30,10,12,16,10,35,62,76,,http://dbpedia.org/resource/Ryad_Boudebouz
"A. Mehmedi","Admir Mehmedi",74,75,56,75,80,81,74,58,58,81,70,68,80,67,67,74,69,43,36,13,14,8,15,44,64,76,,http://dbpedia.org/resource/Admir_Mehmedi
"V. Wanyama","Victor Wanyama",62,61,68,74,60,68,62,57,70,74,51,51,79,54,88,58,65,80,77,6,14,10,13,78,78,76,#Strength,http://dbpedia.org/resource/Victor_Wanyama
"G. Bou","Gustavo Leonardo Bou",69,77,74,71,70,77,66,71,61,77,78,78,80,78,75,71,71,22,21,6,6,15,16,39,78,76,,http://dbpedia.org/resource/Gustavo_Bou
"Daniel Carriço","Daniel Filipe Martins Carriço",61,48,73,75,47,58,39,54,75,64,34,40,66,53,77,62,62,78,79,14,10,15,15,76,84,76,,http://dbpedia.org/resource/Daniel_Carriço
"E. Berisha","Etrit Berisha",11,13,12,19,11,12,13,12,26,17,28,28,50,39,64,42,22,10,11,76,76,67,75,22,57,76,,http://dbpedia.org/resource/Etrit_Berisha
Souza,"Josef de Souza Dias",63,54,75,74,44,69,68,60,69,75,67,69,76,90,83,66,62,78,72,10,12,7,10,76,65,76,,http://dbpedia.org/resource/Josef_de_Souza
"Kiko Femenía","Francisco Femenía Far",77,53,56,75,54,76,65,55,63,76,77,74,56,78,63,69,60,75,76,16,15,7,15,72,69,76,,http://dbpedia.org/resource/Kiko_Femenía
"T. Pukki","Teemu Pukki",45,80,62,71,74,73,53,40,35,77,78,75,75,78,69,71,72,29,16,13,8,8,9,36,68,76,,http://dbpedia.org/resource/Teemu_Pukki
"D. Le Tallec","Damien Vincent Denis Le Tallec",65,60,78,76,58,70,64,37,72,73,55,66,70,74,79,70,66,78,74,10,12,6,10,77,75,76,,http://dbpedia.org/resource/Damien_Le_Tallec
"O. Elabdellaoui","Omar Elabdellaoui",73,42,60,73,55,73,72,60,68,75,84,82,72,87,68,69,42,72,72,8,11,12,6,69,60,76,,http://dbpedia.org/resource/Omar_Elabdellaoui
"L. Chichizola","Leandro Chichizola",11,16,17,14,14,17,15,14,13,15,49,54,52,31,52,42,25,12,11,76,75,69,74,16,74,76,,http://dbpedia.org/resource/Leandro_Chichizola
"D. Ginczek","Daniel Ginczek",31,78,75,64,78,69,49,58,37,70,54,82,85,53,90,58,76,45,19,13,6,15,7,29,64,76,#Strength,http://dbpedia.org/resource/Daniel_Ginczek
"M. Plattenhardt","Marvin Plattenhardt",86,43,60,76,54,74,87,85,69,75,69,64,79,75,74,65,61,76,75,15,6,15,13,72,72,76,#Crosser,http://dbpedia.org/resource/Marvin_Plattenhardt
"R. Hamouma","Romain Hamouma",77,73,63,77,73,79,77,70,71,79,72,67,70,70,60,76,71,41,41,14,11,14,7,39,57,76,,http://dbpedia.org/resource/Romain_Hamouma
"M. Gonalons","Maxime Gonalons",61,55,73,75,60,64,57,57,76,76,59,48,74,59,74,71,68,79,76,11,11,11,8,77,77,76,,http://dbpedia.org/resource/Maxime_Gonalons
"M. Braithwaite","Martin Braithwaite Christensen",68,77,67,74,75,76,71,75,65,80,80,80,77,76,75,69,73,30,26,14,13,11,7,31,81,76,,http://dbpedia.org/resource/Martin_Braithwaite
"W. Khazri","Wahbi Khazri",80,77,54,76,69,79,79,78,67,80,68,74,85,68,67,77,75,46,30,6,7,11,11,53,36,76,,http://dbpedia.org/resource/Wahbi_Khazri
Adrián,"Adrián San Miguel del Castillo",12,16,15,21,12,15,12,17,32,23,46,44,51,38,63,32,44,19,14,79,72,68,72,25,69,76,,http://dbpedia.org/resource/Adrián_(footballer)
"A. Finnbogason","Alfreð Finnbogason",37,83,68,70,79,75,56,51,67,75,61,61,78,50,76,72,90,32,34,6,15,16,15,20,66,76,,http://dbpedia.org/resource/Alfreð_Finnbogason
"Joel Robles","Joel Robles Blázquez",12,11,12,15,13,18,11,20,26,25,50,56,54,25,72,41,15,11,14,78,73,72,73,22,59,76,,http://dbpedia.org/resource/Joel_Robles
"D. Pabón","Dorlan Mauricio Pabón Ríos",72,72,51,74,77,76,76,74,71,73,86,83,88,70,70,74,73,40,33,15,11,15,14,44,79,76,,http://dbpedia.org/resource/Dorlan_Pabón
Anselmo,"Anselmo de Moraes",55,65,62,74,54,70,61,46,73,74,69,66,72,85,83,69,62,78,72,9,11,8,12,71,65,76,,http://dbpedia.org/resource/Anselmo_de_Moraes
"Tomás Pina","Tomás Pina Isla",58,62,69,79,59,76,65,61,78,78,55,41,73,71,72,74,59,77,70,8,12,11,7,77,66,76,,http://dbpedia.org/resource/Tomás_Pina
"Y. Court","Yoann Court",79,75,26,78,32,77,77,71,75,79,70,66,75,65,63,77,60,40,44,12,16,7,13,50,72,76,,http://dbpedia.org/resource/Yoann_Court
Nolito,"Manuel Agudo Durán",76,77,56,75,65,76,81,76,69,78,69,63,73,57,62,75,74,39,27,10,15,12,8,50,61,76,,http://dbpedia.org/resource/Nolito
"Wilson Eduardo","Wilson Bruno Naval da Costa Eduardo",75,76,66,73,84,78,81,71,66,77,76,80,83,70,69,73,82,33,23,13,12,11,9,24,68,76,,http://dbpedia.org/resource/Wilson_Eduardo
Rômulo,"Rômulo Borges Monteiro",67,61,76,77,51,69,48,63,76,69,73,69,73,82,74,69,64,75,74,15,8,7,10,76,80,76,,"http://dbpedia.org/resource/Rômulo_(footballer,_born_1990)"
"J. Forrest","James Forrest",73,74,47,73,66,77,72,51,51,78,90,88,71,79,60,71,64,52,45,12,10,8,9,48,74,76,#Acrobat,"http://dbpedia.org/resource/James_Forrest_(footballer,_born_1991)"
Cédric,"Cédric Ricardo Alves Soares",70,57,65,75,68,75,66,64,69,76,77,75,76,75,59,65,60,76,74,11,14,12,12,74,72,76,,http://dbpedia.org/resource/Cédric_Soares
"M. Badelj","Milan Badelj",69,54,66,80,66,72,64,58,79,77,53,51,72,69,68,77,68,76,72,8,9,14,15,76,54,76,,http://dbpedia.org/resource/Milan_Badelj
"R. Falk","Rasmus Falk Jensen",66,62,58,78,60,80,64,51,75,80,84,85,66,90,67,73,55,65,56,10,9,16,12,65,83,76,,http://dbpedia.org/resource/Rasmus_Falk
"David López","David López Silva",55,53,75,78,56,64,48,46,70,75,54,54,77,63,80,69,50,79,75,9,12,7,11,80,73,76,,"http://dbpedia.org/resource/David_López_(footballer,_born_1989)"
"N. Sansone","Nicola Sansone",70,77,63,75,73,79,76,69,65,78,78,78,78,61,54,76,74,44,33,11,7,14,9,38,65,76,,http://dbpedia.org/resource/Nicola_Sansone
"S. Armstrong","Stuart Armstrong",72,76,66,76,62,76,75,74,74,74,74,73,77,84,68,74,64,66,62,14,8,13,11,69,70,76,,http://dbpedia.org/resource/Stuart_Armstrong
"M. Pereyra","Mauricio Ernesto Pereyra Antonini",74,70,49,79,69,74,67,73,74,78,76,69,70,73,58,83,62,63,55,16,13,14,12,69,53,76,#Acrobat,http://dbpedia.org/resource/Mauricio_Pereyra
"R. Ibarra","Alex Renato Ibarra Mina",78,62,47,70,64,77,60,61,66,77,91,92,71,85,70,68,54,52,46,6,9,14,13,56,73,76,#Speedster,http://dbpedia.org/resource/Renato_Ibarra
"Toño García","Antonio García Aranda",80,62,52,77,56,77,82,59,68,77,79,81,71,78,66,69,62,70,73,15,13,7,10,72,62,76,,"http://dbpedia.org/resource/Toño_(footballer,_born_1989)"
Clerc,"Carlos Clerc Martínez",74,56,62,72,48,76,72,46,64,74,82,90,64,89,73,64,44,71,72,7,14,11,10,71,73,76,,http://dbpedia.org/resource/Carlos_Clerc
"V. Claesson","Viktor Claesson",68,74,45,75,64,72,70,64,73,78,75,76,77,88,72,80,64,44,47,12,7,9,10,40,53,76,#Engine,http://dbpedia.org/resource/Viktor_Claesson
"S. Andersson","Sebastian Andersson",32,80,83,72,74,69,39,42,39,74,62,64,77,76,80,62,65,30,24,10,9,14,15,25,72,76,,"http://dbpedia.org/resource/Andreas_Andersson_(footballer,_born_1991)"
Marçal,"Fernando Marçal de Oliveira",71,52,62,75,44,70,65,55,73,74,75,75,73,71,71,65,49,76,77,6,11,14,13,77,74,76,,http://dbpedia.org/resource/Fernando_Marçal
"T. Strobl","Tobias Strobl",51,30,69,76,35,59,44,45,77,58,51,55,79,73,78,66,47,77,75,11,8,8,16,80,74,76,,http://dbpedia.org/resource/Tobias_Strobl
"G. Pizarro","Guido Hernán Pizarro Demestri",62,59,76,79,62,71,69,59,71,70,58,47,69,88,71,70,60,78,74,7,12,16,15,71,78,76,,http://dbpedia.org/resource/Guido_Pizarro
"Óscar Plano","Óscar Plano Pedreño",75,68,62,75,58,74,80,63,68,76,79,89,78,77,62,75,66,58,45,8,14,16,8,60,61,76,,http://dbpedia.org/resource/Óscar_Plano
"E. Mena","Eugenio Esteban Mena Reveco",78,38,50,72,38,74,59,41,64,72,76,79,61,78,67,68,58,74,74,10,12,12,10,76,74,76,,http://dbpedia.org/resource/Eugenio_Mena
"Garry Rodrigues","Garry Mendes Rodrigues",72,71,56,72,72,77,74,61,68,73,82,84,76,90,60,70,61,40,44,15,7,15,10,44,66,76,,http://dbpedia.org/resource/Garry_Rodrigues
"Carles Gil","Carles Gil de Pareja Vicent",76,72,34,79,71,77,76,65,77,78,64,65,63,83,57,81,69,43,39,12,15,16,9,40,60,76,,http://dbpedia.org/resource/Carles_Gil
"Aderllan Santos","Aderllan Leandro de Jesus Santos",42,34,74,61,46,50,44,61,51,54,55,66,77,75,81,34,60,79,77,10,13,13,8,77,58,76,,http://dbpedia.org/resource/Aderllan_Santos
"F. Di Francesco","Federico Di Francesco",77,60,40,77,72,83,78,69,67,82,76,81,74,72,62,68,69,38,36,11,10,6,10,34,44,76,,http://dbpedia.org/resource/Federico_Di_Francesco
"O. Opazo","Óscar Mauricio Opazo Lara",73,67,57,72,53,72,64,62,67,71,91,90,68,85,72,57,51,67,80,14,11,9,9,64,67,76,#Speedster,http://dbpedia.org/resource/Óscar_Opazo
"L. Sigali","Leonardo Germán Sigali",40,45,77,55,29,55,31,32,49,63,67,65,51,52,79,32,42,78,75,11,8,10,15,78,92,76,,http://dbpedia.org/resource/Leonardo_Sigali
"L. Zelarayán","Lucas Manuel Zelarayán",71,70,50,78,69,77,75,82,72,75,76,72,73,72,60,78,67,43,35,8,9,11,6,44,81,76,,http://dbpedia.org/resource/Lucas_Zelarayán
"N. Domínguez","Nery Andrés Domínguez",62,61,68,79,43,67,50,56,81,77,56,54,77,79,76,81,55,78,81,15,13,12,11,79,71,76,,http://dbpedia.org/resource/Nery_Domínguez
"M. Sportiello","Marco Sportiello",13,18,18,32,12,19,14,21,19,22,48,38,51,37,66,44,21,17,13,76,74,68,76,29,68,76,,http://dbpedia.org/resource/Marco_Sportiello
"A. Ademi","Arijan Ademi",42,68,71,76,40,72,49,48,73,69,53,72,69,87,83,70,46,76,68,11,10,12,15,74,63,76,#Engine,http://dbpedia.org/resource/Arijan_Ademi
"O. Romero","Óscar David Romero Villamayor",72,75,52,76,53,80,77,72,74,78,74,76,74,70,60,75,69,24,25,8,7,14,14,39,74,76,,http://dbpedia.org/resource/Óscar_Romero_(footballer)
"T. Hamed","Tarek Hamed",60,55,65,76,49,67,58,61,73,72,66,62,69,86,66,66,68,77,78,16,15,12,12,76,72,76,,http://dbpedia.org/resource/Tarek_Hamed
"Dyego Sousa","Dyego Wilverson Ferreira Sousa",58,76,83,70,78,77,46,64,52,76,60,55,81,77,84,60,75,22,27,15,7,12,7,25,74,76,,http://dbpedia.org/resource/Dyego_Sousa
"Andrei Girotto","Andrei Girotto",65,58,74,77,51,65,63,43,67,74,61,55,77,71,69,54,55,80,77,11,7,9,6,79,73,76,,http://dbpedia.org/resource/Andrei_Girotto
"Jorge Miramón","Jorge Miramón Santagertrudis",79,58,68,74,54,67,69,59,72,72,72,74,61,88,74,74,63,75,73,11,10,15,14,71,58,76,,http://dbpedia.org/resource/Jorge_Miramón
